name_club,PCA_feature0,PCA_feature1,PCA_feature2,PCA_feature3,PCA_feature4,PCA_feature5
"Fernandinho, Manchester City",-2.9541936898121883,1.9237237184355243,3.681025838681361,-2.393155121711654,1.100737373721893,1.1958430130946287
"Thiago Silva, Paris Saint-Germain",-2.1108421681301253,3.938672648449566,3.479765227279055,-1.4313712174102018,2.1377807351667375,0.3323962455983463
"K. Benzema, Real Madrid",-3.4201320461832543,-4.966848590423706,4.585326256693816,0.05048382119317307,2.234011675482193,0.8875863552818106
"J. Vertonghen, Tottenham Hotspur",-2.1581215765816966,3.440457098869894,3.6275629078234535,-1.2476173514495827,1.8019158087836125,-0.34613207074309177
"D. Mertens, Napoli",-3.6144225091364834,-6.807813588261468,1.4861685981837516,-3.087348428246753,2.8115136198776165,0.6906296135798052
"M. Hummels, Borussia Dortmund",-2.350425304269546,3.3240859438918346,4.618419925540708,-2.056251407879633,1.500168961348911,-0.22574124055234793
"T. Alderweireld, Tottenham Hotspur",-2.263235390159365,4.230350645886523,4.1188470520120335,-1.6344361900176663,2.4599830069082667,0.00449852766121858
"Jordi Alba, FC Barcelona",-3.773118160624391,0.3442629809375489,0.46160242474918545,-2.3677343452676483,3.4398084390624946,-0.8243818681393047
"Thiago, FC Bayern München",-3.8437723189796618,-1.491513106509738,2.798679313459228,-4.126892269146167,1.6808266435221775,-0.14659576347432843
"K. Navas, Real Madrid",15.71361315889975,-1.5361688970757283,2.0417335846835445,-1.6604262767319788,4.0697211111908596,0.5210433361679895
"L. Insigne, Napoli",-3.5468606283247364,-7.107044777302829,1.3182450451532368,-3.290356914985607,2.427716537305813,1.1176463906806462
"L. Sane, Manchester City",-3.2044810285166165,-5.464103286812527,2.1618758102037563,-0.8135866498273556,2.8989770230906964,-0.45321829157080634
"Marquinhos, Paris Saint-Germain",-2.017961897568093,4.832870988956639,2.0250733740988767,-1.6351504116570514,3.8338379229717376,0.8044685136731327
"M. Skriniar, Inter",-1.0708250551721323,5.859617844362744,2.7536264331588045,-0.13454379979683534,3.09483854824213,2.476318531870362
"M. Verratti, Paris Saint-Germain",-3.395710833273133,1.0699008564954986,1.9262445018493273,-4.846215497757582,1.7011240578483018,1.768711596516398
"S. Umtiti, FC Barcelona",-2.028452772344902,3.607465346806419,3.484829098865408,-0.6730859990155199,2.047833453784838,0.20592746788344812
"W. Szczesny, Juventus",15.364353766120113,-1.2757752483589768,2.1283432875698285,-1.4929132170099766,3.9220659394721187,0.7018452201682877
"J. Kimmich, FC Bayern München",-3.816666029361652,0.27659322488800464,2.2183504678465016,-3.015797966240246,2.69349670373052,0.200094483776401
"Isco, Real Madrid",-4.007842449329374,-3.264435097545023,2.5308569990977796,-3.7093166692988384,1.3935854760029822,-0.10943319054444053
"Roberto Firmino, Liverpool",-3.2201709569276433,-2.3787225094136435,3.0834431969376044,-0.6232062876923925,1.934947554539498,0.8547903485425927
"I. Rakitic, FC Barcelona",-3.8817503471655823,-0.933559787774273,4.247435614297898,-4.032174543195521,-0.9827782303180611,0.9346408454829669
"M. Pjanic, Juventus",-3.727871592152483,-0.4463954748643151,3.286019586460472,-4.44390516803321,0.5747805172772292,1.0256699993088072
"A. Di Maria, Paris Saint-Germain",-3.597853671632477,-4.161823825953748,2.137777816551724,-2.4607946599075996,2.4327532906631175,-2.1736358452676936
"L. Bonucci, Juventus",-1.9015209411238636,4.316821363288727,4.700818538961942,-1.2998325182699897,1.334577016877779,2.177343997418793
"Coutinho, FC Bayern München",-3.554701841812352,-4.348315086516948,1.8865172768706533,-3.250149283695593,1.3284688487145826,0.6165419592631046
"Parejo, Valencia CF",-3.479089529700123,-0.8898307047387158,5.1327046112037875,-4.089291518721639,-1.3021330270343674,1.011949989159232
"T. Muller, FC Bayern München",-2.840839709275515,-2.693402133070563,3.306312873310177,-0.9338190328300673,1.7158138007098966,0.8595664551025207
"C. Immobile, Lazio",-2.502963502016982,-4.396238103954908,3.7379659614966263,1.900528161229566,2.5329739810438223,0.8058933230048505
